RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASS YDS,PASS TDS,REC,REC YDS,REC TDS,ATT,RUSH YDS,RUSH TDS
"69",6,"Trevor Lawrence",JAC,"17.9","241.9","1.5","0.0","0.0","0.0","3.6","17.1","0.3"
"70",6,"David Montgomery",DET,"10.0","0.0","0.0","2.1","19.8","0.1","12.6","50.1","0.3"
"71",6,"Marquise Brown",ARI,"10.2","0.0","0.0","5.6","59.1","0.3","0.1","0.1","0.0"
"72",6,"Mike Evans",TB,"12.5","0.0","0.0","5.1","74.9","0.4","0.0","0.0","0.0"
"73",6,"Michael Pittman Jr.",IND,"10.4","0.0","0.0","6.2","57.8","0.3","0.2","1.9","0.0"
"74",6,"Javonte Williams",DEN,"8.5","0.0","0.0","4.0","19.0","0.0","11.8","51.0","0.0"
"75",6,"Kyle Pitts",ATL,"6.2","0.0","0.0","2.8","35.6","0.2","0.0","0.0","0.0"
"76",6,"James Cook",BUF,"5.7","0.0","0.0","1.2","10.6","0.1","5.4","30.9","0.1"
"77",6,"Isiah Pacheco",KC,"7.6","0.0","0.0","0.8","7.6","0.0","10.0","48.8","0.3"
"78",6,"Dallas Goedert",PHI,"9.5","0.0","0.0","4.6","58.5","0.3","0.0","0.0","0.0"
"79",6,"D'Andre Swift",PHI,"11.9","0.0","0.0","3.4","27.8","0.2","7.1","38.7","0.4"
"80",7,"Jahan Dotson",WAS,"9.4","0.0","0.0","2.9","43.6","0.6","0.2","-0.6","0.0"
"81",7,"Dalvin Cook",NYJ,"12.8","0.0","0.0","2.3","17.4","0.1","15.5","69.0","0.5"
"82",7,"George Pickens",PIT,"8.3","0.0","0.0","3.1","47.1","0.2","0.2","1.4","0.1"
"83",7,"Jordan Addison",MIN,"0","0","0","0","0","0","0","0","0"
"84",7,"Jaxon Smith-Njigba",SEA,"0","0","0","0","0","0","0","0","0"
"85",7,"Deshaun Watson",CLE,"15.1","183.7","1.2","0.0","0.0","0.0","6.0","29.2","0.2"
"86",7,"Gabe Davis",BUF,"9.8","0.0","0.0","3.2","55.7","0.5","0.0","0.0","0.0"
"87",7,"Khalil Herbert",CHI,"8.7","0.0","0.0","0.7","4.4","0.1","9.9","56.2","0.3"
"88",7,"AJ Dillon",GB,"9.0","0.0","0.0","1.6","12.1","0.0","10.9","45.3","0.4"
"89",7,"Antonio Gibson",WAS,"9.5","0.0","0.0","3.1","23.5","0.1","9.9","36.4","0.2"
"90",7,"Treylon Burks",TEN,"6.5","0.0","0.0","3.0","40.4","0.1","0.4","4.3","0.0"
"91",7,"Brian Robinson Jr.",WAS,"9.0","0.0","0.0","0.8","5.0","0.1","17.1","66.4","0.2"
"92",7,"Dak Prescott",DAL,"17.8","238.3","1.9","0.0","0.0","0.0","3.8","15.2","0.1"
"93",7,"Brandin Cooks",DAL,"9.0","0.0","0.0","4.4","53.8","0.2","0.2","0.5","0.0"
"94",7,"Evan Engram",JAC,"8.3","0.0","0.0","4.3","45.1","0.2","0.1","0.8","0.0"
"95",7,"Courtland Sutton",DEN,"8.5","0.0","0.0","4.3","55.3","0.1","0.1","0.3","0.0"
"96",7,"Pat Freiermuth",PIT,"7.8","0.0","0.0","4.2","48.8","0.1","0.0","0.0","0.0"
"97",7,"Tua Tagovailoa",MIA,"18.4","272.9","1.9","0.0","0.0","0.0","1.8","5.4","0.0"
"98",7,"Daniel Jones",NYG,"18.4","200.3","0.9","0.0","0.0","0.0","7.5","44.3","0.4"
"99",7,"Quentin Johnston",LAC,"0","0","0","0","0","0","0","0","0"
"100",7,"David Njoku",CLE,"8.1","0.0","0.0","4.1","44.9","0.3","0.1","-0.6","0.0"
"101",7,"Rashaad Penny",PHI,"10.0","0.0","0.0","0.8","3.2","0.0","11.4","69.2","0.4"
"102",7,"JuJu Smith-Schuster",NE,"9.1","0.0","0.0","4.9","58.3","0.2","0.0","0.0","0.0"
"103",7,"Elijah Moore",CLE,"4.3","0.0","0.0","2.3","27.9","0.1","0.3","0.3","0.0"
"104",7,"Jamaal Williams",NO,"12.9","0.0","0.0","0.7","4.3","0.0","15.4","62.7","1.0"
"105",7,"Samaje Perine",DEN,"7.7","0.0","0.0","2.4","17.9","0.3","5.9","24.6","0.1"
"106",7,"Michael Thomas",NO,"14.4","0.0","0.0","5.3","57.0","1.0","0.0","0.0","0.0"
"107",7,"Kirk Cousins",MIN,"18.0","267.5","1.7","0.0","0.0","0.0","1.8","5.7","0.1"
"108",7,"Zach Charbonnet",SEA,"0","0","0","0","0","0","0","0","0"
"109",7,"Geno Smith",SEA,"18.5","251.9","1.8","0.0","0.0","0.0","4.0","21.5","0.1"
"110",7,"Zay Flowers",BAL,"0","0","0","0","0","0","0","0","0"
"111",8,"Rashod Bateman",BAL,"7.7","0.0","0.0","2.5","47.5","0.3","0.0","0.0","0.0"
"112",8,"Kadarius Toney",KC,"5.5","0.0","0.0","1.8","19.0","0.2","0.8","9.1","0.1"
"113",8,"Jakobi Meyers",LV,"10.5","0.0","0.0","4.8","57.4","0.4","0.1","-0.8","0.0"
"114",8,"Jerick McKinnon",KC,"9.9","0.0","0.0","3.3","30.1","0.5","4.2","17.1","0.1"
"115",8,"Dalton Schultz",HOU,"7.6","0.0","0.0","3.8","38.5","0.3","0.0","0.0","0.0"
"116",8,"Skyy Moore",KC,"2.0","0.0","0.0","1.4","15.6","0.0","0.2","1.5","0.0"
"117",8,"Damien Harris",BUF,"7.5","0.0","0.0","1.5","8.8","0.0","9.6","42.0","0.3"
"118",8,"Aaron Rodgers",NYJ,"14.8","217.4","1.5","0.0","0.0","0.0","2.0","5.5","0.1"
"119",8,"Nico Collins",HOU,"7.9","0.0","0.0","3.7","48.1","0.2","0.0","0.0","0.0"
"120",8,"Elijah Mitchell",SF,"8.4","0.0","0.0","0.6","1.4","0.0","9.0","55.8","0.4"
"121",8,"Anthony Richardson",IND,"0","0","0","0","0","0","0","0","0"
"122",8,"Chigoziem Okonkwo",TEN,"5.1","0.0","0.0","2.0","28.1","0.2","0.2","0.1","0.0"
"123",8,"De'Von Achane",MIA,"0","0","0","0","0","0","0","0","0"
"124",8,"Tyler Higbee",LAR,"7.3","0.0","0.0","4.5","38.8","0.2","0.0","0.0","0.0"
"125",8,"Jared Goff",DET,"17.1","261.1","1.7","0.0","0.0","0.0","1.7","4.3","0.0"
"126",8,"Allen Lazard",NYJ,"9.7","0.0","0.0","4.0","52.5","0.4","0.1","0.0","0.0"
"127",8,"Greg Dulcich",DEN,"7.0","0.0","0.0","3.3","41.1","0.2","0.0","0.0","0.0"
"128",8,"Jeff Wilson Jr.",MIA,"9.2","0.0","0.0","1.4","11.6","0.1","11.0","53.8","0.3"
"129",8,"Tyler Boyd",CIN,"8.6","0.0","0.0","3.5","45.6","0.4","0.0","0.0","0.0"
"130",8,"Russell Wilson",DEN,"15.8","234.9","1.1","0.0","0.0","0.0","3.7","18.5","0.2"
"131",8,"Odell Beckham Jr.",BAL,"0","0","0","0","0","0","0","0","0"
"132",8,"Tyler Allgeier",ATL,"9.5","0.0","0.0","1.0","8.7","0.1","13.1","64.7","0.2"
"133",8,"Raheem Mostert",MIA,"9.6","0.0","0.0","1.9","12.6","0.1","11.3","55.7","0.2"
"134",8,"Romeo Doubs",GB,"6.2","0.0","0.0","3.2","32.7","0.2","0.1","0.8","0.0"
"135",8,"Darnell Mooney",CHI,"7.4","0.0","0.0","3.6","44.8","0.2","0.1","0.2","0.0"
"136",8,"Cole Kmet",CHI,"7.2","0.0","0.0","2.9","32.0","0.4","0.1","0.5","0.0"
"137",8,"Jaylen Warren",PIT,"5.0","0.0","0.0","1.8","13.4","0.0","4.8","23.7","0.1"
"138",8,"Jameson Williams",DET,"2.4","0.0","0.0","0.2","6.8","0.2","0.2","6.7","0.0"
"139",8,"Rondale Moore",ARI,"8.4","0.0","0.0","5.1","51.8","0.1","0.8","-0.6","0.0"
"140",8,"Devin Singletary",HOU,"9.4","0.0","0.0","2.2","16.5","0.1","10.5","48.4","0.3"
"141",8,"Zay Jones",JAC,"9.8","0.0","0.0","5.1","51.4","0.3","0.3","1.1","0.0"
"142",8,"Adam Thielen",CAR,"8.5","0.0","0.0","4.1","42.1","0.4","0.1","0.2","0.0"
"143",8,"Kenneth Gainwell",PHI,"4.5","0.0","0.0","1.4","9.9","0.0","3.1","14.1","0.2"
"144",8,"Gerald Everett",LAC,"7.4","0.0","0.0","3.9","37.0","0.3","0.1","0.0","0.0"
"145",9,"Michael Gallup",DAL,"6.1","0.0","0.0","2.8","30.3","0.3","0.0","0.0","0.0"
"146",9,"Tank Bigsby",JAC,"0","0","0","0","0","0","0","0","0"
"147",9,"DJ Chark Jr.",CAR,"7.6","0.0","0.0","2.7","45.6","0.3","0.0","0.0","0.0"
"148",9,"D'Onta Foreman",CHI,"8.0","0.0","0.0","0.3","1.6","0.0","12.7","57.1","0.3"
"149",9,"Ezekiel Elliott",NE,"11.8","0.0","0.0","1.1","6.1","0.0","15.4","58.4","0.8"
"150",9,"Dalton Kincaid",BUF,"0","0","0","0","0","0","0","0","0"
"151",9,"Derek Carr",NO,"15.5","234.8","1.6","0.0","0.0","0.0","1.6","6.8","0.0"
"152",9,"Matthew Stafford",LAR,"12.9","231.9","1.1","0.0","0.0","0.0","1.4","1.0","0.1"
"153",9,"Donovan Peoples-Jones",CLE,"8.0","0.0","0.0","3.6","49.4","0.2","0.1","0.1","0.0"
"154",9,"Juwan Johnson",NO,"7.1","0.0","0.0","2.6","31.8","0.4","0.0","0.0","0.0"
"155",9,"Kendre Miller",NO,"0","0","0","0","0","0","0","0","0"
"156",9,"Kenny Pickett",PIT,"12.2","184.9","0.5","0.0","0.0","0.0","4.2","18.2","0.2"
"157",9,"Gus Edwards",BAL,"6.6","0.0","0.0","0.0","0.0","0.0","9.7","48.1","0.3"
